"target_gene_source_value","drug_source_value","interaction_source_value"
"MAOA","NOMIFENSINE","[Not Available]"
"MAOA","ZIMELDINE","inhibitor"
"MAOA","POSIZOLID","[Not Available]"
"MAOA","HARMINE","[Not Available]"
"MAOA","BEFLOXATONE","inhibitor"
"MAOA","PIRLINDOLE","inhibitor"
"MAOA","SELEGILINE","inhibitor"
"MAOA","TRANYLCYPROMINE","inhibitor"
"MAOA","PHENELZINE","inhibitor"
"MAOA","Indantadol","inhibitor"
"MAOA","TRANYLCYPROMINE SULFATE","inhibitor"
"LGSN","L-GLUTAMATE","[Not Available]"
"RPL10L","METHYLENE BLUE","[Not Available]"
"RPL10L","ANISOMYCIN","[Not Available]"
"RPL10L","PUROMYCIN","[Not Available]"
"TUBB1","VINFLUNINE","inhibitor"
"TUBB1","IXABEPILONE","inhibitor"
"TUBB1","VINDESINE","c(""binder"", ""inhibitor"")"
"TUBB1","PACLITAXEL","c(""binder"", ""inhibitor"")"
"TUBB1","DOCETAXEL","[Not Available]"
"TUBB1","COLCHICINE","inhibitor"
"TUBB1","EPOTHILONE D","[Not Available]"
"TUBB1","PATUPILONE","[Not Available]"
"TUBB1","ERIBULIN MESYLATE","inhibitor"
"TUBB1","LEXIBULIN","inhibitor"
"TUBB1","CABAZITAXEL","c(""binder"", ""inhibitor"")"
"TUBB1","CHEMBL94021","[Not Available]"
"TUBB1","PACLITAXEL POLIGLUMEX","[Not Available]"
"TUBB1","FOSBRETABULIN TROMETHAMINE","[Not Available]"
"TUBB1","PLINABULIN","inhibitor"
"TUBB1","VERUBULIN","[Not Available]"
"TUBB1","TRASTUZUMAB EMTANSINE","inhibitor"
"TUBB1","BRENTUXIMAB VEDOTIN","inhibitor"
"TUBB1","DOCETAXEL HYDRATE","inhibitor"
"TUBB1","2-METHOXYESTRADIOL","binder"
"TUBB1","ANG1005","[Not Available]"
"TUBB1","MEBENDAZOLE","binder"
"TUBB1","ALBENDAZOLE","binder"
"TUBB1","TASIDOTIN HYDROCHLORIDE","binder"
"TUBB1","MILATAXEL","[Not Available]"
"TUBB1","DAVUNETIDE","[Not Available]"
"TUBB1","SAGOPILONE","[Not Available]"
"TUBB1","ENMD-981693","[Not Available]"
"TUBB1","TASIDOTIN","[Not Available]"
"TUBB1","CROLIBULIN","inhibitor"
"TUBB1","VINCRISTINE SULFATE","inhibitor"
"TUBB1","VINORELBIN DITARTRATE","inhibitor"
"TUBB1","INDIBULIN","inhibitor"
"TUBB1","FOSBRETABULIN DISODIUM","inhibitor"
"TUBB1","ORTATAXEL","[Not Available]"
"TUBB1","VINBLASTINE SULFATE","inhibitor"
"TUBB1","TESETAXEL","[Not Available]"
"MLNR","ALEMCINAL","agonist"
"MLNR","AZITHROMYCIN","agonist"
"MLNR","CAMICINAL","agonist"
"MLNR","CHEMBL299799","agonist"
"MLNR","CHEMBL598952","agonist"
"MLNR","CHEMBL51522","agonist"
"MLNR","MOTILIN","agonist"
"MLNR","ROXITHROMYCIN","agonist"
"MLNR","MECLOFENAMATE SODIUM","antagonist"
"MLNR","MITEMCINAL FUMARATE","agonist"
"MLNR","MITEMCINAL","agonist"
"MLNR","ATILMOTIN","agonist"
"CA5A","ZONISAMIDE","inhibitor"
"CA5A","BRINZOLAMIDE","inhibitor"
"CA5A","CHEMBL1230309","[Not Available]"
"CA5A","ELLAGIC ACID","inhibitor"
"CA5A","ETHOXZOLAMIDE","inhibitor"
"GNMT","S-ADENOSYL-L-METHIONINE","cofactor"
"GNMT","GLYCINE","[Not Available]"
"GNMT","S-ADENOSYLHOMOCYSTEINE","[Not Available]"
"GNMT","CITRIC ACID","[Not Available]"
"GNMT","VITAMIN B12","[Not Available]"
"KLKB1","ECALLANTIDE","inhibitor"
"KLKB1","CONESTAT ALFA","c(""Inhibitor"", ""inhibitor"")"
"ESRRB","BIOCHANIN","agonist"
"ESRRB","DAIDZEIN","agonist"
"ESRRB","CHEMBL192509","agonist"
"ESRRB","GENISTEIN","agonist"
"ESRRB","DIETHYLSTILBESTROL","antagonist"
"SERPIND1","ARDEPARIN SODIUM","agonist"
"SERPIND1","SULODEXIDE","agonist"
"RPL19","METHYLENE BLUE","[Not Available]"
"RPL19","ANISOMYCIN","[Not Available]"
"RPL19","PUROMYCIN","[Not Available]"
"PROKR1","CHEMBL550577","antagonist"
"CRYZ","DICUMAROL","inhibitor"
"CRYZ","CHEMBL1161862","[Not Available]"
"KCNJ12","DOFETILIDE","inhibitor"
"KCNJ12","MAGNESIUM","inhibitor"
"JUN","VINBLASTINE","[Not Available]"
"JUN","IRBESARTAN","[Not Available]"
"JUN","ARSENIC TRIOXIDE","inducer"
"JUN","CHEMBL3222137","inhibitor"
"JUN","L-EFLORNITHINE","[Not Available]"
"CCND1","ARSENIC TRIOXIDE","antagonist"
"CCND1","ACETAMINOPHEN","[Not Available]"
"CCND1","VITAMIN E","[Not Available]"
"CCND1","CYTARABINE","[Not Available]"
"CCND1","GOSSYPOL","[Not Available]"
"CCND1","Roniciclib","[Not Available]"
"CCND1","Ribociclib","[Not Available]"
"CCND1","PALBOCICLIB","inhibitor"
"CCND1","METHOTREXATE","[Not Available]"
"CCND1","MYCOPHENOLIC ACID","[Not Available]"
"CCND1","NIFEDIPINE","[Not Available]"
"CCND1","TAMOXIFEN","[Not Available]"
"CCND1","TROGLITAZONE","[Not Available]"
"CCND1","URACIL","[Not Available]"
"CCND1","ABEMACICLIB","[Not Available]"
"CCND1","BRICICLIB","inhibitor"
"CBLC","OLAPARIB","[Not Available]"
"ALDH1A2","CHEMBL1161866","[Not Available]"
"ALDH1A2","RETINOL","[Not Available]"
"ALDH1A2","TRETINOIN","[Not Available]"
"ALDH1A2","ETRETINATE","[Not Available]"
"ALDH1A2","MEDRONIC ACID","[Not Available]"
"SRGN","HEPARIN","[Not Available]"
"SBF2","PAROXETINE","[Not Available]"
"CLDN18","Claudiximab","antibody"
"SLC16A5","PYRUVATE","[Not Available]"
"HIST4H4","TRICHOSTATIN","[Not Available]"
"HIST4H4","HYDROGEN PEROXIDE","[Not Available]"
"SPTLC1","PYRIDOXAL PHOSPHATE","cofactor"
"SPTLC1","SERINE","[Not Available]"
"CTSV","CITIBRASINE","inhibitor"
"CA6","ZONISAMIDE","inhibitor"
"CA6","ELLAGIC ACID","inhibitor"
"CA6","SAR-566658","[Not Available]"
"CA6","ETHOXZOLAMIDE","inhibitor"
"NLGN1","FLUOROURACIL","[Not Available]"
"FARS2","L-PHENYLALANINE","[Not Available]"
"PDE6H","PENTOXIFYLLINE","inhibitor"
"PDE6H","VARDENAFIL","allosteric modulator"
"PDE6H","DIPYRIDAMOLE","inhibitor"
"G6PD","SULFASALAZINE","[Not Available]"
"G6PD","PRIMAQUINE","[Not Available]"
"G6PD","GLYCOLIC ACID","[Not Available]"
"G6PD","CHEMBL1161862","[Not Available]"
"G6PD","CHEMBL445472","[Not Available]"
"G6PD","ASCORBATE","[Not Available]"
"G6PD","CHLOROQUINE","[Not Available]"
"G6PD","ERYTHROMYCIN","[Not Available]"
"G6PD","QUININE SULFATE","[Not Available]"
"G6PD","RASBURICASE","[Not Available]"
"G6PD","SULFAMETHOXAZOLE","[Not Available]"
"G6PD","TRAMETINIB","[Not Available]"
"G6PD","CO-TRIMOXAZOLE","[Not Available]"
"G6PD","DIAZEPAM","[Not Available]"
"G6PD","ETHYL NITROSOUREA","[Not Available]"
"G6PD","NIMESULIDE","[Not Available]"
"G6PD","OMEPRAZOLE","[Not Available]"
"G6PD","PENICILLIN G POTASSIUM","[Not Available]"
"G6PD","PREDNISOLONE","[Not Available]"
"G6PD","PROPRANOLOL","[Not Available]"
"G6PD","TRIAMCINOLONE","[Not Available]"
"G6PD","ZINC CHLORIDE","[Not Available]"
"G6PD","TRIAPINE","[Not Available]"
"G6PD","CHLORPROGUANIL","[Not Available]"
"G6PD","METHYLENE BLUE","[Not Available]"
"G6PD","CARMUSTINE","[Not Available]"
"G6PD","SULFADOXINE","[Not Available]"
"G6PD","PYRIMETHAMINE","[Not Available]"
"G6PD","BUSULFAN","[Not Available]"
"G6PD","ARTESUNATE","[Not Available]"
"G6PD","GLYBURIDE","[Not Available]"
"G6PD","DABRAFENIB","[Not Available]"
"G6PD","METOCLOPRAMIDE","[Not Available]"
"G6PD","NALIDIXIC ACID","[Not Available]"
"G6PD","CHLORPROPAMIDE","[Not Available]"
"G6PD","LIDOCAINE","[Not Available]"
"G6PD","SULFISOXAZOLE","[Not Available]"
"G6PD","GLIMEPIRIDE","[Not Available]"
"G6PD","GLIPIZIDE","[Not Available]"
"G6PD","PRILOCAINE","[Not Available]"
"G6PD","MAFENIDE","[Not Available]"
"G6PD","PEGLOTICASE","[Not Available]"
"G6PD","SODIUM NITRITE","[Not Available]"
"G6PD","POTASSIUM CHLORIDE","[Not Available]"
"G6PD","SODIUM ASCORBATE","[Not Available]"
"G6PD","SODIUM CHLORIDE","[Not Available]"
"G6PD","SODIUM SULFATE","[Not Available]"
"G6PD","NITROFURANTOIN","[Not Available]"
"G6PD","SUCCIMER","[Not Available]"
"G6PD","TRIMETHOPRIM","[Not Available]"
"CCL17","BLEOMYCIN (CHEMBL3039590)","[Not Available]"
"CCL17","CYCLOSPORINE","[Not Available]"
"CCL17","DEXAMETHASONE","[Not Available]"
"CCL17","DICLOFENAC","[Not Available]"
"CCL17","FEXOFENADINE HYDROCHLORIDE","[Not Available]"
"CCL17","INFLIXIMAB","[Not Available]"
"CCL17","LORATADINE","[Not Available]"
"CCL17","TACROLIMUS","[Not Available]"
"CCL17","HYDROCORTISONE","[Not Available]"
"CYSLTR2","URACIL MUSTARD","agonist"
"CYSLTR2","LEUKOTRIEN E4","agonist"
"CYSLTR2","OXACILLIN","antagonist"
"CYSLTR2","IRALUKAST","antagonist"
"CYSLTR2","POBILUKAST","antagonist"
"CYSLTR2","PRANLUKAST","antagonist"
"CYSLTR2","FOSCARNET SODIUM","antagonist"
"CYSLTR2","ZAFIRLUKAST","antagonist"
"WARS","TRYPTOPHAN","inhibitor"
"WARS","CHEMBL227123","[Not Available]"
"CDK7","CHEMBL1802728","inhibitor"
"CDK7","PENTOBARBITAL","inhibitor"
"CDK7","MILCICLIB","inhibitor"
"CDK7","RGB-286638","inhibitor"
"CDK7","CHEMBL369507","[Not Available]"
"CDK7","ALVOCIDIB","inhibitor"
"CDK7","RG-547","inhibitor"
"CDK7","BMS-387032","inhibitor"
"CDK7","SELICICLIB","inhibitor"
"CDK7","AZD-5438","inhibitor"
"CDK7","PHA-793887","inhibitor"
"CDK7","TG-02","inhibitor"
"CDK7","Roniciclib","inhibitor"
"CDK7","AT-7519","inhibitor"
"ANGPT1","TREBANANIB","inhibitor"
"PSMD14","IXAZOMIB CITRATE","inhibitor"
"PSMD14","OPROZOMIB","inhibitor"
"PSMD14","CARFILZOMIB","inhibitor"
"PSMD14","BORTEZOMIB","inhibitor"
"RXRG","ADAPALENE","agonist"
"RXRG","BEXAROTENE","c(""agonist"", ""activator"")"
"RXRG","ACITRETIN","agonist"
"RXRG","ALITRETINOIN","agonist"
"RXRG","TRETINOIN","agonist"
"RXRG","ETRETINATE","agonist"
"RXRG","MOFAROTENE","modulator"
"RXRG","IRX-4204","agonist"
"IPO8","ENMD-981693","[Not Available]"
"TPM3","METHOTREXATE","[Not Available]"
"TPM3","MIDAZOLAM","[Not Available]"
"TPM3","PROGESTERONE","[Not Available]"
"TPM3","ETRETINATE","[Not Available]"
"TPM3","SIMVASTATIN","[Not Available]"
"TPM3","THIOGUANINE","[Not Available]"
"TPM3","CORTICOTROPIN","[Not Available]"
"TPM3","APAZIQUONE","[Not Available]"
"TPM3","EPINEPHRINE","[Not Available]"
"RDH11","RETINOL","[Not Available]"
"STAT5B","DASATINIB","inhibitor"
"STAT5B","EPOETIN ALFA","[Not Available]"
"CASP10","EMRICASAN","inhibitor"
"GJD4","CARBENOXOLONE","inhibitor"
"GJD4","cA2","inhibitor"
"GJD4","FLUFENAMIC ACID","inhibitor"
"GJD4","OCTANOL","inhibitor"
"CATSPER2","ALPROSTADIL","activator"
"CATSPER2","DINOPROSTONE","activator"
"CATSPER2","PROGESTERONE","activator"
"CATSPER2","MIBEFRADIL","channel blocker"
"CATSPER2","CHEMBL1551597","channel blocker"
"NMBR","BOMBESIN","agonist"
"NMBR","CYTIDINE","agonist"
"NMBR","CHEMBL1672354","agonist"
"NMBR","CHEMBL403317","agonist"
"NMBR","DESOXYCORTICOSTERONE","agonist"
"NMBR","CHEMBL1161480","agonist"
"NMBR","CYSTETINE TRIPHOSPHATE","antagonist"
"NMBR","GALLAMINE TRIETHIODIDE","antagonist"
"NMBR","MAPROTILINE","antagonist"
"NMBR","CHEMBL86828","antagonist"
"NMBR","CHEMBL329650","antagonist"
"NMBR","CHEMBL405908","antagonist"
"NDUFA8","CHEMBL1161866","[Not Available]"
"NDUFA8","METFORMIN HYDROCHLORIDE","inhibitor"
"NDUFA8","ME-344","inhibitor"
"NDUFA8","NV-128","inhibitor"
"PRDX1","HYDROGEN PEROXIDE","[Not Available]"
"NAPEPLD","ALCOHOL","[Not Available]"
"CCT3","CHEMBL1230989","[Not Available]"
"KDM5A","CHEMBL1336959","inhibitor"
"KCNK4","ARACHIDONIC ACID","activator"
"KCNK4","RILUZOLE","activator"
"NSF","BITOSCANATE","[Not Available]"
"LIPA","GLUCAGON","[Not Available]"
"LIPA","LOVASTATIN","[Not Available]"
"LIPA","TRIFLUOPERAZINE","[Not Available]"
"LIPA","LIOTHYRONINE SODIUM","[Not Available]"
"DDIT3","6-DIAZO-5-OXO-L-NORLEUCINE","[Not Available]"
"DDIT3","DACTINOMYCIN","[Not Available]"
"DDIT3","VITAMIN E","[Not Available]"
"DDIT3","BORTEZOMIB","[Not Available]"
"DDIT3","CELECOXIB","[Not Available]"
"DDIT3","CYCLOSPORINE","[Not Available]"
"DDIT3","CURCUMIN","[Not Available]"
"DDIT3","DEFEROXAMINE","[Not Available]"
"DDIT3","DICLOFENAC","[Not Available]"
"DDIT3","ETOPOSIDE","[Not Available]"
"DDIT3","FENRETINIDE","[Not Available]"
"DDIT3","GLUTAMINE","[Not Available]"
"DDIT3","HYDROGEN PEROXIDE","[Not Available]"
"DDIT3","IBUPROFEN","[Not Available]"
"DDIT3","INDOMETHACIN","[Not Available]"
"DDIT3","MANNITOL","[Not Available]"
"DDIT3","NICOTINE","[Not Available]"
"DDIT3","PENICILLAMINE","[Not Available]"
"DDIT3","BENZOQUINONE","[Not Available]"
"DDIT3","SIROLIMUS","[Not Available]"
"DDIT3","STAUROSPORINE","[Not Available]"
"DDIT3","STREPTOZOTOCIN","[Not Available]"
"DDIT3","SURAMIN","[Not Available]"
"DDIT3","PACLITAXEL","[Not Available]"
"DDIT3","ASCORBATE","[Not Available]"
"DDIT3","ASPIRIN","[Not Available]"
"PNLIP","ORLISTAT","inhibitor"
"PNLIP","PALIFERMIN","[Not Available]"
"PNLIP","CETILISTAT","[Not Available]"
"PNLIP","DALBAVANCIN","inhibitor"
"SAG","BROMOCRIPTINE","[Not Available]"
"SAG","CYCLOSPORINE","[Not Available]"
"SAG","TACROLIMUS","[Not Available]"
"SAG","INDOMETHACIN","[Not Available]"
"SAG","DEXAMETHASONE","[Not Available]"
"TNFSF14","BAMINERCEPT","inhibitor"
"SEPSECS","PYRIDOXAL PHOSPHATE","cofactor"
"CASP14","EMRICASAN","inhibitor"
"CASP14","GRASSYSTATIN A","inhibitor"
"ADRA1A","EPINEPHRINE BITARTRATE","agonist"
"ADRA1A","EPINEPHRINE","agonist"
"ADRA1A","ALSEROXYLON","antagonist"
"ADRA1A","TOLAZOLINE HYDROCHLORIDE","antagonist"
"ADRA1A","OXYMETAZOLINE HYDROCHLORIDE","agonist"
"ADRA1A","PHENOXYBENZAMINE HYDROCHLORIDE","antagonist"
"ADRA1A","METARAMINOL BITARTRATE","agonist"
"ADRA1A","CARVEDILOL PHOSPHATE","antagonist"
"ADRA1A","HYDROXYAMPHETAMINE HYDROBROMIDE","agonist"
"ADRA1A","NOREPINEPHRINE","agonist"
"ADRA1A","ARIPIPRAZOLE","antagonist"
"ADRA1A","AMPHETAMINE","agonist"
"ADRA1A","CABERGOLINE","c(""antagonist"", ""binder"")"
"ADRA1A","DAPIPRAZOLE","antagonist"
"ADRA1A","OLANZAPINE","antagonist"
"ADRA1A","CLOZAPINE","antagonist"
"ADRA1A","MIRTAZAPINE","binder"
"ADRA1A","PHENYLPROPANOLAMINE","agonist"
"ADRA1A","LOXAPINE","binder"
"ADRA1A","PROMAZINE","antagonist"
"ADRA1A","DIPIVEFRIN","agonist"
"ADRA1A","DROPERIDOL","antagonist"
"ADRA1A","AMOXAPINE","antagonist"
"ADRA1A","METARAMINOL","agonist"
"ADRA1A","ERGOTAMINE","partial agonist"
"ADRA1A","NICERGOLINE","antagonist"
"ADRA1A","METHOXAMINE","agonist"
"ADRA1A","RISPERIDONE","antagonist"
"ADRA1A","PROPIOMAZINE","antagonist"
"ADRA1A","TOLAZOLINE","antagonist"
"ADRA1A","FENOLDOPAM","[Not Available]"
"ADRA1A","BENZPHETAMINE HYDROCHLORIDE","agonist"
"ADRA1A","FLUPENTIXOL","antagonist"
"ADRA1A","APRACLONIDINE","agonist"
"ADRA1A","ERGOLOID MESYLATES","antagonist"
"ADRA1A","CARVEDILOL","antagonist"
"ADRA1A","ERGONOVINE","agonist"
"ADRA1A","PALIPERIDONE","antagonist"
"ADRA1A","BEVANTOLOL","antagonist"
"ADRA1A","MEPHENTERMINE","agonist"
"ADRA1A","LEVOMEPROMAZINE","antagonist"
"ADRA1A","PARA-METHOXYAMPHETAMINE","agonist"
"ADRA1A","ACEPROMAZINE","antagonist"
"ADRA1A","THIOPROPERAZINE","antagonist"
"ADRA1A","ZUCLOPENTHIXOL","antagonist"
"ADRA1A","DRONEDARONE","antagonist"
"ADRA1A","ILOPERIDONE","antagonist"
"ADRA1A","ALBIFLORIN","[Not Available]"
"ADRA1A","CHEMBL609728","[Not Available]"
"ADRA1A","SERTINDOLE","[Not Available]"
"ADRA1A","MIANSERIN","antagonist"
"ADRA1A","SILODOSIN","antagonist"
"ADRA1A","DROXIDOPA","agonist"
"ADRA1A","XYLOMETAZOLINE","agonist"
"ADRA1A","ISOMETHEPTENE","agonist"
"ADRA1A","NAPHAZOLINE","agonist"
"ADRA1A","TETRAHYDROZOLINE","agonist"
"ADRA1A","CIRAZOLINE","agonist"
"ADRA1A","TIAPRIDE","antagonist"
"ADRA1A","BETHANIDINE","[Not Available]"
"ADRA1A","RAUWOLFIA SERPENTINA (CHEMBL3559672)","antagonist"
"ADRA1A","DEBRISOQUIN","[Not Available]"
"ADRA1A","LABETALOL","[Not Available]"
"ADRA1A","ALFUZOSIN","antagonist"
"ADRA1A","LABETALOL HYDROCHLORIDE","antagonist"
"ADRA1A","MEPHENTERMINE SULFATE","agonist"
"ADRA1A","NORADRENALINE","agonist"
"ADRA1A","TEDATIOXETINE","antagonist"
"ADRA1A","ERGOTAMINE TARTRATE","agonist"
"ADRA1A","NAPHAZOLINE HYDROCHLORIDE","agonist"
"ADRA1A","TETRAHYDROZOLINE HYDROCHLORIDE","agonist"
"ADRA1A","PRAZOSIN","antagonist"
"ADRA1A","PERICIAZINE","[Not Available]"
"ADRA1A","PHENOXYBENZAMINE","[Not Available]"
"ADRA1A","THIORIDAZINE","[Not Available]"
"ADRA1A","TRIFLUOPERAZINE","[Not Available]"
"ADRA1A","ALFUZOSIN HYDROCHLORIDE","c(""agonist"", ""antagonist"")"
"ADRA1A","PSEUDOEPHEDRINE","[Not Available]"
"ADRA1A","EPHEDRINE","[Not Available]"
"ADRA1A","OXYMETAZOLINE","agonist"
"ADRA1A","TRAZODONE","[Not Available]"
"ADRA1A","MIDODRINE","[Not Available]"
"ADRA1A","DOXAZOSIN","antagonist"
"ADRA1A","TAMSULOSIN","antagonist"
"ADRA1A","LISDEXAMFETAMINE","[Not Available]"
"ADRA1A","ZIPRASIDONE","[Not Available]"
"ADRA1A","BENZPHETAMINE (CHEMBL1201358)","[Not Available]"
"ADRA1A","METHAMPHETAMINE","[Not Available]"
"ADRA1A","PHENTOLAMINE","antagonist"
"ADRA1A","PHENDIMETRAZINE","[Not Available]"
"ADRA1A","ASENAPINE (CHEMBL3187365)","[Not Available]"
"ADRA1A","PHENYLEPHRINE","agonist"
"ADRA1A","TERAZOSIN","antagonist"
"ADRA1A","MIDODRINE HYDROCHLORIDE","agonist"
"ADRA1A","PHENTOLAMINE MESYLATE","antagonist"
"ADRA1A","NEFAZODONE","[Not Available]"
"ADRA1A","PHENYLPROPANOLAMINE POLISTIREX","agonist"
"ADRA1A","TRIMIPRAMINE MALEATE","antagonist"
"ADRA1A","PRAZOSIN HYDROCHLORIDE","antagonist"
"ADRA1A","TAMSULOSIN HYDROCHLORIDE","antagonist"
"ADRA1A","TERAZOSIN HYDROCHLORIDE HYDRATE","antagonist"
"ADRA1A","PARDOPRUNOX","[Not Available]"
"ADRA1A","DOXAZOSIN MESYLATE","antagonist"
"ADRA1A","DAPIPRAZOLE HYDROCHLORIDE","antagonist"
"ADRA1A","AMIODARONE","[Not Available]"
"ADRA1A","PHENYLPROPANOLAMINE HYDROCHLORIDE","agonist"
"ADRA1A","SENREBOTASE","[Not Available]"
"ADRA1A","PHENYLEPHRINE HYDROCHLORIDE","agonist"
"ADRA1A","DIPIVEFRIN HYDROCHLORIDE","agonist"
"ADRA1A","DABUZALGRON","c(""agonist"", ""partial agonist"")"
"ADRA1A","PHENYLEPHRINE BITARTRATE","agonist"
"ADRA1A","METHOXAMINE HYDROCHLORIDE","agonist"
"ADRA1A","CHEMBL109783","agonist"
"ADRA1A","NS-49","agonist"
"ADRA1A","DIAZEPAM","allosteric modulator"
"ADRA1A","CHEMBL420060","antagonist"
"ADRA1A","A-119637","antagonist"
"ADRA1A","A-123189","antagonist"
"ADRA1A","BMY-7378","antagonist"
"ADRA1A","(+)-CYCLAZOSIN","antagonist"
"ADRA1A","CYPROHEPTADINE","antagonist"
"ADRA1A","INDORAMIN","antagonist"
"ADRA1A","KETANSERIN","antagonist"
"ADRA1A","LISURIDE","antagonist"
"ADRA1A","CHEMBL1256701","antagonist"
"ADRA1A","PIRIBEDIL (CHEMBL1371770)","antagonist"
"ADRA1A","RITANSERIN","antagonist"
"ADRA1A","CHEMBL24777","antagonist"
"ADRA1A","ROXINDOLE","antagonist"
"ADRA1A","CHEMBL56331","antagonist"
"ADRA1A","CHEMBL88272","antagonist"
"ADRA1A","CHEMBL179334","antagonist"
"ADRA1A","NIGULDIPINE","antagonist"
"ADRA1A","SPIPERONE","antagonist"
"ADRA1A","SPIROXATRINE","antagonist"
"ADRA1A","TERGURIDE","antagonist"
"ADRA1A","UPIDOSIN","antagonist"
"ADRA1A","CHEMBL25554","antagonist"
"DFFB","CURCUMIN","[Not Available]"
"KCNS1","GUANIDINE HYDROCHLORIDE","blocker"
"KCNS1","DALFAMPRIDINE","blocker"
"KCNS1","NERISPIRDINE","blocker"
"KCNS1","TEDISAMIL","blocker"
"NMNAT3","DIPHOSPHOMETHYLPHOSPHONIC ACID ADENOSYL ESTER","[Not Available]"
"NMNAT3","BETANMN","[Not Available]"
"SUCNR1","SUCCINIC ACID","agonist"
"SUCNR1","PHENACEMIDE","agonist"
"SUCNR1","MALEIC ACID","agonist"
"SUCNR1","METHYLMALONIC ACID","agonist"
"SUCNR1","PHENELZINE","agonist"
"SUCNR1","CHEMBL305801","antagonist"
"NDUFC2","CHEMBL1161866","[Not Available]"
"NDUFC2","CARVEDILOL","inhibitor"
"NDUFC2","ME-344","inhibitor"
"NDUFC2","NV-128","inhibitor"
"NDUFC2","METFORMIN HYDROCHLORIDE","inhibitor"
"MTRR","CYANOCOBALAMIN","cofactor"
"MTRR","METHIONINE","product of"
"MTRR","HYDROXOCOBALAMIN","other"
"MTRR","VITAMIN B12","[Not Available]"
"MTRR","TEGAFUR","[Not Available]"
"MSH6","TEMOZOLOMIDE","[Not Available]"
"MSH6","PEMBROLIZUMAB","[Not Available]"
"MSH6","NIVOLUMAB","[Not Available]"
"MSH6","IPILIMUMAB","[Not Available]"
"MSH6","ATEZOLIZUMAB","[Not Available]"
"MSH6","DURVALUMAB","[Not Available]"
"IL10RB","PEGINTERFERON LAMBDA-1A","agonist"
"SRR","PYRIDOXAL PHOSPHATE","cofactor"
"SRR","SERINE","[Not Available]"
"COL4A3","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","[Not Available]"
"COL4A3","OCRIPLASMIN","[Not Available]"
"SIAH1","OMIGAPIL","[Not Available]"
"CRTC2","GEDATOLISIB","[Not Available]"
"CRTC2","VOXTALISIB","[Not Available]"
"CRTC2","INK-128","[Not Available]"
"CRTC2","DACTOLISIB","[Not Available]"
"KIAA1524","GEMCITABINE","[Not Available]"
"DBI","COENZYME_A","[Not Available]"
"DBI","PALMITALDEHYDE","[Not Available]"
"DGKG","DEXFOSFOSERINE","[Not Available]"
"GATA2","AZACITIDINE","[Not Available]"
"GATA2","EPOETIN ALFA","[Not Available]"
"GATA2","BORTEZOMIB","[Not Available]"
"GATA2","FASUDIL","[Not Available]"
"SLC25A4","ADENOSINE TRIPHOSPHATE","[Not Available]"
"SLC25A4","CLODRONATE DISODIUM","inhibitor"
"SLC25A4","PAROMOMYCIN","inhibitor"
"SLC25A4","CLODRONIC ACID","inhibitor"
"CPE","INSULIN HUMAN","[Not Available]"
"HSD11B2","CHEMBL1161866","[Not Available]"
"HSD11B2","FORMEBOLONE","inhibitor"
"HSD11B2","HYDROCORTISONE","[Not Available]"
"PSMB6","CARFILZOMIB","inhibitor"
"PSMB6","BORTEZOMIB","inhibitor"
"PSMB6","IXAZOMIB CITRATE","inhibitor"
"PSMB6","OPROZOMIB","inhibitor"
"PSMB6","MARIZOMIB","inhibitor"
"PRMT1","S-ADENOSYLHOMOCYSTEINE","[Not Available]"
"PRMT1","PSEUDOEPHEDRINE","inhibitor"
"PRMT1","PREGNENOLONE","inhibitor"
"CTSO","ODANACATIB","inhibitor"
"IGFBP3","CELECOXIB","[Not Available]"
"IGFBP3","FLUOROURACIL","[Not Available]"
"ROS1","CRIZOTINIB","inhibitor"
"ROS1","NAPROXEN","inhibitor"
"ROS1","CABOZANTINIB","[Not Available]"
"ROS1","ENTRECTINIB","[Not Available]"
"ROS1","ASP-3026","inhibitor"
"ROS1","FORETINIB","[Not Available]"
"ROS1","BRIGATINIB","[Not Available]"
"ROS1","CERITINIB","[Not Available]"
"ROS1","LORLATINIB","[Not Available]"
"ROS1","TAE-684","[Not Available]"
"RARB","ADAPALENE","agonist"
"RARB","ACITRETIN","agonist"
"RARB","ALITRETINOIN","agonist"
"RARB","TAZAROTENE","agonist"
"RARB","ETRETINATE","agonist"
"RARB","CHEMBL275311","[Not Available]"
"RARB","TAMIBAROTENE","agonist"
"RARB","TRETINOIN","agonist"
"RARB","PALOVAROTENE","[Not Available]"
"RARB","FENRETINIDE","[Not Available]"
"RARB","ISOTRETINOIN","agonist"
"RARB","MOFAROTENE","modulator"
"RARB","IRX4310","antagonist"
"SCLY","PYRIDOXAL PHOSPHATE","cofactor"
"ABAT","DIVALPROEX SODIUM","inhibitor"
"ABAT","PYRIDOXAL PHOSPHATE","inhibitor"
"ABAT","PYRUVATE","inhibitor"
"ABAT","L-GLUTAMATE","[Not Available]"
"ABAT","L-ALANINE","inhibitor"
"ABAT","VIGABATRIN","inhibitor"
"ABAT","VALPROIC ACID","[Not Available]"
"ABAT","TIAGABINE","[Not Available]"
"ABAT","CHEMBL378577","inhibitor"
"IRS1","ALCOHOL","[Not Available]"
"IRS1","PRASTERONE","[Not Available]"
"IRS1","GLIMEPIRIDE","[Not Available]"
"IRS1","INOSITOL","[Not Available]"
